item1,item2,value,class
變化性,薪資,42,組織文化與制度
工學院,薪資,6,科系專業
理學院,薪資,0,科系專業
管理學院/商學院,薪資,0,科系專業
社會學院,薪資,0,科系專業
文學院,薪資,0,科系專業
面試,薪資,20,招募資訊
學經歷,薪資,40,招募資訊
徵才,薪資,19,招募資訊
實習,薪資,16,招募資訊
工作,薪資,161,招募資訊
離職,薪資,18,招募資訊
新鮮人,薪資,43,招募資訊
畢業,薪資,5,招募資訊
證照,薪資,0,招募資訊
招募人員,薪資,19,招募資訊
正向,薪資,1980,情緒
負向,薪資,985,情緒
成就感,福利,0,成長價值
學習成長,福利,37,成長價值
創新,福利,3,成長價值
薪資,福利,441,經濟報酬
福利,福利,773,經濟報酬
管理制度,福利,121,經濟報酬
工作氛圍,福利,25,人際價值
同事互動,福利,64,人際價值
主管風格,福利,90,人際價值
工作地點,福利,11,組織文化與制度
公司規模,福利,32,組織文化與制度
工作環境,福利,61,組織文化與制度
產業前景,福利,10,組織文化與制度
多元性,福利,2,組織文化與制度
企業社會責任,福利,0,組織文化與制度
企業永續目標,福利,0,組織文化與制度
變化性,福利,27,組織文化與制度
工學院,福利,2,科系專業
理學院,福利,0,科系專業
管理學院/商學院,福利,0,科系專業
社會學院,福利,0,科系專業
文學院,福利,0,科系專業
面試,福利,7,招募資訊
學經歷,福利,12,招募資訊
徵才,福利,13,招募資訊
實習,福利,22,招募資訊
工作,福利,85,招募資訊
離職,福利,5,招募資訊
新鮮人,福利,13,招募資訊
畢業,福利,1,招募資訊
證照,福利,0,招募資訊
招募人員,福利,11,招募資訊
正向,福利,1780,情緒
負向,福利,519,情緒
成就感,管理制度,0,成長價值
學習成長,管理制度,97,成長價值
創新,管理制度,2,成長價值
薪資,管理制度,155,經濟報酬
福利,管理制度,121,經濟報酬
管理制度,管理制度,865,經濟報酬
工作氛圍,管理制度,52,人際價值
同事互動,管理制度,86,人際價值
主管風格,管理制度,134,人際價值
工作地點,管理制度,16,組織文化與制度
公司規模,管理制度,52,組織文化與制度
工作環境,管理制度,40,組織文化與制度
產業前景,管理制度,8,組織文化與制度
多元性,管理制度,5,組織文化與制度
企業社會責任,管理制度,0,組織文化與制度
企業永續目標,管理制度,0,組織文化與制度
變化性,管理制度,31,組織文化與制度
工學院,管理制度,12,科系專業
理學院,管理制度,0,科系專業
管理學院/商學院,管理制度,0,科系專業
社會學院,管理制度,0,科系專業
文學院,管理制度,0,科系專業
面試,管理制度,20,招募資訊
學經歷,管理制度,12,招募資訊
徵才,管理制度,15,招募資訊
實習,管理制度,7,招募資訊
工作,管理制度,198,招募資訊
離職,管理制度,16,招募資訊
新鮮人,管理制度,9,招募資訊
畢業,管理制度,6,招募資訊
證照,管理制度,0,招募資訊
招募人員,管理制度,9,招募資訊
正向,管理制度,1515,情緒
負向,管理制度,741,情緒
成就感,工作氛圍,3,成長價值
學習成長,工作氛圍,25,成長價值
創新,工作氛圍,1,成長價值
薪資,工作氛圍,52,經濟報酬
福利,工作氛圍,25,經濟報酬
管理制度,工作氛圍,52,經濟報酬
工作氛圍,工作氛圍,226,人際價值
同事互動,工作氛圍,31,人際價值
主管風格,工作氛圍,47,人際價值
工作地點,工作氛圍,1,組織文化與制度
公司規模,工作氛圍,13,組織文化與制度
工作環境,工作氛圍,23,組織文化與制度
產業前景,工作氛圍,3,組織文化與制度
多元性,工作氛圍,3,組織文化與制度
企業社會責任,工作氛圍,0,組織文化與制度
企業永續目標,工作氛圍,0,組織文化與制度
變化性,工作氛圍,3,組織文化與制度
工學院,工作氛圍,4,科系專業
理學院,工作氛圍,0,科系專業
管理學院/商學院,工作氛圍,0,科系專業
社會學院,工作氛圍,0,科系專業
文學院,工作氛圍,0,科系專業
面試,工作氛圍,7,招募資訊
學經歷,工作氛圍,3,招募資訊
徵才,工作氛圍,5,招募資訊
實習,工作氛圍,14,招募資訊
工作,工作氛圍,101,招募資訊
離職,工作氛圍,6,招募資訊
新鮮人,工作氛圍,5,招募資訊
畢業,工作氛圍,4,招募資訊
證照,工作氛圍,0,招募資訊
招募人員,工作氛圍,0,招募資訊
正向,工作氛圍,564,情緒
負向,工作氛圍,394,情緒
成就感,同事互動,0,成長價值
學習成長,同事互動,45,成長價值
創新,同事互動,3,成長價值
薪資,同事互動,81,經濟報酬
福利,同事互動,64,經濟報酬
管理制度,同事互動,86,經濟報酬
工作氛圍,同事互動,31,人際價值
同事互動,同事互動,461,人際價值
主管風格,同事互動,100,人際價值
工作地點,同事互動,8,組織文化與制度
公司規模,同事互動,31,組織文化與制度
工作環境,同事互動,45,組織文化與制度
產業前景,同事互動,19,組織文化與制度
多元性,同事互動,5,組織文化與制度
企業社會責任,同事互動,0,組織文化與制度
企業永續目標,同事互動,0,組織文化與制度
變化性,同事互動,21,組織文化與制度
工學院,同事互動,10,科系專業
理學院,同事互動,0,科系專業
管理學院/商學院,同事互動,0,科系專業
社會學院,同事互動,0,科系專業
文學院,同事互動,0,科系專業
面試,同事互動,8,招募資訊
學經歷,同事互動,15,招募資訊
徵才,同事互動,11,招募資訊
實習,同事互動,14,招募資訊
工作,同事互動,172,招募資訊
離職,同事互動,14,招募資訊
新鮮人,同事互動,6,招募資訊
畢業,同事互動,5,招募資訊
證照,同事互動,0,招募資訊
招募人員,同事互動,3,招募資訊
正向,同事互動,1234,情緒
負向,同事互動,412,情緒
成就感,主管風格,2,成長價值
學習成長,主管風格,41,成長價值
創新,主管風格,1,成長價值
薪資,主管風格,124,經濟報酬
福利,主管風格,90,經濟報酬
管理制度,主管風格,134,經濟報酬
工作氛圍,主管風格,47,人際價值
同事互動,主管風格,100,人際價值
主管風格,主管風格,614,人際價值
工作地點,主管風格,2,組織文化與制度
公司規模,主管風格,35,組織文化與制度
工作環境,主管風格,34,組織文化與制度
產業前景,主管風格,17,組織文化與制度
多元性,主管風格,0,組織文化與制度
企業社會責任,主管風格,0,組織文化與制度
企業永續目標,主管風格,0,組織文化與制度
變化性,主管風格,24,組織文化與制度
工學院,主管風格,6,科系專業
理學院,主管風格,0,科系專業
管理學院/商學院,主管風格,0,科系專業
社會學院,主管風格,0,科系專業
文學院,主管風格,0,科系專業
面試,主管風格,20,招募資訊
學經歷,主管風格,10,招募資訊
徵才,主管風格,9,招募資訊
實習,主管風格,28,招募資訊
工作,主管風格,175,招募資訊
離職,主管風格,8,招募資訊
新鮮人,主管風格,6,招募資訊
畢業,主管風格,5,招募資訊
證照,主管風格,0,招募資訊
招募人員,主管風格,11,招募資訊
正向,主管風格,1320,情緒
負向,主管風格,667,情緒
成就感,工作地點,0,成長價值
學習成長,工作地點,7,成長價值
創新,工作地點,0,成長價值
薪資,工作地點,4,經濟報酬
福利,工作地點,11,經濟報酬
管理制度,工作地點,16,經濟報酬
工作氛圍,工作地點,1,人際價值
同事互動,工作地點,8,人際價值
主管風格,工作地點,2,人際價值
工作地點,工作地點,120,組織文化與制度
公司規模,工作地點,1,組織文化與制度
工作環境,工作地點,29,組織文化與制度
產業前景,工作地點,1,組織文化與制度
多元性,工作地點,0,組織文化與制度
企業社會責任,工作地點,0,組織文化與制度
企業永續目標,工作地點,0,組織文化與制度
變化性,工作地點,6,組織文化與制度
工學院,工作地點,0,科系專業
理學院,工作地點,0,科系專業
管理學院/商學院,工作地點,0,科系專業
社會學院,工作地點,0,科系專業
文學院,工作地點,0,科系專業
面試,工作地點,2,招募資訊
學經歷,工作地點,1,招募資訊
徵才,工作地點,0,招募資訊
實習,工作地點,1,招募資訊
工作,工作地點,11,招募資訊
離職,工作地點,0,招募資訊
新鮮人,工作地點,0,招募資訊
畢業,工作地點,1,招募資訊
證照,工作地點,0,招募資訊
招募人員,工作地點,0,招募資訊
正向,工作地點,160,情緒
負向,工作地點,78,情緒
成就感,公司規模,0,成長價值
學習成長,公司規模,27,成長價值
創新,公司規模,1,成長價值
薪資,公司規模,80,經濟報酬
福利,公司規模,32,經濟報酬
管理制度,公司規模,52,經濟報酬
工作氛圍,公司規模,13,人際價值
同事互動,公司規模,31,人際價值
主管風格,公司規模,35,人際價值
工作地點,公司規模,1,組織文化與制度
公司規模,公司規模,236,組織文化與制度
工作環境,公司規模,24,組織文化與制度
產業前景,公司規模,6,組織文化與制度
多元性,公司規模,1,組織文化與制度
企業社會責任,公司規模,0,組織文化與制度
企業永續目標,公司規模,0,組織文化與制度
變化性,公司規模,25,組織文化與制度
工學院,公司規模,3,科系專業
理學院,公司規模,0,科系專業
管理學院/商學院,公司規模,0,科系專業
社會學院,公司規模,0,科系專業
文學院,公司規模,0,科系專業
面試,公司規模,3,招募資訊
學經歷,公司規模,5,招募資訊
徵才,公司規模,2,招募資訊
實習,公司規模,5,招募資訊
工作,公司規模,50,招募資訊
離職,公司規模,1,招募資訊
新鮮人,公司規模,6,招募資訊
畢業,公司規模,1,招募資訊
證照,公司規模,0,招募資訊
招募人員,公司規模,0,招募資訊
正向,公司規模,405,情緒
負向,公司規模,144,情緒
成就感,工作環境,0,成長價值
學習成長,工作環境,19,成長價值
創新,工作環境,1,成長價值
薪資,工作環境,64,經濟報酬
福利,工作環境,61,經濟報酬
管理制度,工作環境,40,經濟報酬
工作氛圍,工作環境,23,人際價值
同事互動,工作環境,45,人際價值
主管風格,工作環境,34,人際價值
工作地點,工作環境,29,組織文化與制度
公司規模,工作環境,24,組織文化與制度
工作環境,工作環境,488,組織文化與制度
產業前景,工作環境,6,組織文化與制度
多元性,工作環境,1,組織文化與制度
企業社會責任,工作環境,0,組織文化與制度
企業永續目標,工作環境,0,組織文化與制度
變化性,工作環境,15,組織文化與制度
工學院,工作環境,2,科系專業
理學院,工作環境,0,科系專業
管理學院/商學院,工作環境,0,科系專業
社會學院,工作環境,0,科系專業
文學院,工作環境,0,科系專業
面試,工作環境,2,招募資訊
學經歷,工作環境,8,招募資訊
徵才,工作環境,7,招募資訊
實習,工作環境,9,招募資訊
工作,工作環境,79,招募資訊
離職,工作環境,3,招募資訊
新鮮人,工作環境,4,招募資訊
畢業,工作環境,3,招募資訊
證照,工作環境,0,招募資訊
招募人員,工作環境,0,招募資訊
正向,工作環境,689,情緒
負向,工作環境,262,情緒
成就感,產業前景,0,成長價值
學習成長,產業前景,11,成長價值
創新,產業前景,3,成長價值
薪資,產業前景,26,經濟報酬
福利,產業前景,10,經濟報酬
管理制度,產業前景,8,經濟報酬
工作氛圍,產業前景,3,人際價值
同事互動,產業前景,19,人際價值
主管風格,產業前景,17,人際價值
工作地點,產業前景,1,組織文化與制度
公司規模,產業前景,6,組織文化與制度
工作環境,產業前景,6,組織文化與制度
產業前景,產業前景,118,組織文化與制度
多元性,產業前景,0,組織文化與制度
企業社會責任,產業前景,0,組織文化與制度
企業永續目標,產業前景,0,組織文化與制度
變化性,產業前景,1,組織文化與制度
工學院,產業前景,5,科系專業
理學院,產業前景,0,科系專業
管理學院/商學院,產業前景,0,科系專業
社會學院,產業前景,0,科系專業
文學院,產業前景,0,科系專業
面試,產業前景,2,招募資訊
學經歷,產業前景,0,招募資訊
徵才,產業前景,0,招募資訊
實習,產業前景,4,招募資訊
工作,產業前景,41,招募資訊
離職,產業前景,2,招募資訊
新鮮人,產業前景,2,招募資訊
畢業,產業前景,0,招募資訊
證照,產業前景,0,招募資訊
招募人員,產業前景,0,招募資訊
正向,產業前景,232,情緒
負向,產業前景,123,情緒
成就感,多元性,0,成長價值
學習成長,多元性,7,成長價值
創新,多元性,0,成長價值
薪資,多元性,5,經濟報酬
福利,多元性,2,經濟報酬
管理制度,多元性,5,經濟報酬
工作氛圍,多元性,3,人際價值
同事互動,多元性,5,人際價值
主管風格,多元性,0,人際價值
工作地點,多元性,0,組織文化與制度
公司規模,多元性,1,組織文化與制度
工作環境,多元性,1,組織文化與制度
產業前景,多元性,0,組織文化與制度
多元性,多元性,18,組織文化與制度
企業社會責任,多元性,0,組織文化與制度
企業永續目標,多元性,0,組織文化與制度
變化性,多元性,1,組織文化與制度
工學院,多元性,0,科系專業
理學院,多元性,0,科系專業
管理學院/商學院,多元性,0,科系專業
社會學院,多元性,0,科系專業
文學院,多元性,0,科系專業
面試,多元性,1,招募資訊
學經歷,多元性,2,招募資訊
徵才,多元性,0,招募資訊
實習,多元性,0,招募資訊
工作,多元性,6,招募資訊
離職,多元性,2,招募資訊
新鮮人,多元性,0,招募資訊
畢業,多元性,1,招募資訊
證照,多元性,0,招募資訊
招募人員,多元性,0,招募資訊
正向,多元性,50,情緒
負向,多元性,32,情緒
成就感,企業社會責任,0,成長價值
學習成長,企業社會責任,0,成長價值
創新,企業社會責任,0,成長價值
薪資,企業社會責任,0,經濟報酬
福利,企業社會責任,0,經濟報酬
管理制度,企業社會責任,0,經濟報酬
工作氛圍,企業社會責任,0,人際價值
同事互動,企業社會責任,0,人際價值
主管風格,企業社會責任,0,人際價值
工作地點,企業社會責任,0,組織文化與制度
公司規模,企業社會責任,0,組織文化與制度
工作環境,企業社會責任,0,組織文化與制度
產業前景,企業社會責任,0,組織文化與制度
多元性,企業社會責任,0,組織文化與制度
企業社會責任,企業社會責任,0,組織文化與制度
企業永續目標,企業社會責任,0,組織文化與制度
變化性,企業社會責任,0,組織文化與制度
工學院,企業社會責任,0,科系專業
理學院,企業社會責任,0,科系專業
管理學院/商學院,企業社會責任,0,科系專業
社會學院,企業社會責任,0,科系專業
文學院,企業社會責任,0,科系專業
面試,企業社會責任,0,招募資訊
學經歷,企業社會責任,0,招募資訊
徵才,企業社會責任,0,招募資訊
實習,企業社會責任,0,招募資訊
工作,企業社會責任,0,招募資訊
離職,企業社會責任,0,招募資訊
新鮮人,企業社會責任,0,招募資訊
畢業,企業社會責任,0,招募資訊
證照,企業社會責任,0,招募資訊
招募人員,企業社會責任,0,招募資訊
正向,企業社會責任,0,情緒
負向,企業社會責任,0,情緒
成就感,企業永續目標,0,成長價值
學習成長,企業永續目標,0,成長價值
創新,企業永續目標,0,成長價值
薪資,企業永續目標,0,經濟報酬
福利,企業永續目標,0,經濟報酬
管理制度,企業永續目標,0,經濟報酬
工作氛圍,企業永續目標,0,人際價值
同事互動,企業永續目標,0,人際價值
主管風格,企業永續目標,0,人際價值
工作地點,企業永續目標,0,組織文化與制度
公司規模,企業永續目標,0,組織文化與制度
工作環境,企業永續目標,0,組織文化與制度
產業前景,企業永續目標,0,組織文化與制度
多元性,企業永續目標,0,組織文化與制度
企業社會責任,企業永續目標,0,組織文化與制度
企業永續目標,企業永續目標,0,組織文化與制度
變化性,企業永續目標,0,組織文化與制度
工學院,企業永續目標,0,科系專業
理學院,企業永續目標,0,科系專業
管理學院/商學院,企業永續目標,0,科系專業
社會學院,企業永續目標,0,科系專業
文學院,企業永續目標,0,科系專業
面試,企業永續目標,0,招募資訊
學經歷,企業永續目標,0,招募資訊
徵才,企業永續目標,0,招募資訊
實習,企業永續目標,0,招募資訊
工作,企業永續目標,0,招募資訊
離職,企業永續目標,0,招募資訊
新鮮人,企業永續目標,0,招募資訊
畢業,企業永續目標,0,招募資訊
證照,企業永續目標,0,招募資訊
招募人員,企業永續目標,0,招募資訊
正向,企業永續目標,0,情緒
負向,企業永續目標,0,情緒
成就感,變化性,0,成長價值
學習成長,變化性,10,成長價值
創新,變化性,0,成長價值
薪資,變化性,42,經濟報酬
福利,變化性,27,經濟報酬
管理制度,變化性,31,經濟報酬
工作氛圍,變化性,3,人際價值
同事互動,變化性,21,人際價值
主管風格,變化性,24,人際價值
工作地點,變化性,6,組織文化與制度
公司規模,變化性,25,組織文化與制度
工作環境,變化性,15,組織文化與制度
產業前景,變化性,1,組織文化與制度
多元性,變化性,1,組織文化與制度
企業社會責任,變化性,0,組織文化與制度
企業永續目標,變化性,0,組織文化與制度
變化性,變化性,151,組織文化與制度
工學院,變化性,4,科系專業
理學院,變化性,0,科系專業
管理學院/商學院,變化性,1,科系專業
社會學院,變化性,0,科系專業
文學院,變化性,0,科系專業
面試,變化性,5,招募資訊
學經歷,變化性,2,招募資訊
徵才,變化性,4,招募資訊
實習,變化性,1,招募資訊
工作,變化性,51,招募資訊
離職,變化性,0,招募資訊
新鮮人,變化性,1,招募資訊
畢業,變化性,2,招募資訊
證照,變化性,0,招募資訊
招募人員,變化性,1,招募資訊
正向,變化性,256,情緒
負向,變化性,144,情緒
成就感,工學院,1,成長價值
學習成長,工學院,8,成長價值
創新,工學院,0,成長價值
薪資,工學院,6,經濟報酬
福利,工學院,2,經濟報酬
管理制度,工學院,12,經濟報酬
工作氛圍,工學院,4,人際價值
同事互動,工學院,10,人際價值
主管風格,工學院,6,人際價值
工作地點,工學院,0,組織文化與制度
公司規模,工學院,3,組織文化與制度
工作環境,工學院,2,組織文化與制度
產業前景,工學院,5,組織文化與制度
多元性,工學院,0,組織文化與制度
企業社會責任,工學院,0,組織文化與制度
企業永續目標,工學院,0,組織文化與制度
變化性,工學院,4,組織文化與制度
工學院,工學院,83,科系專業
理學院,工學院,0,科系專業
管理學院/商學院,工學院,0,科系專業
社會學院,工學院,0,科系專業
文學院,工學院,0,科系專業
面試,工學院,1,招募資訊
學經歷,工學院,2,招募資訊
徵才,工學院,0,招募資訊
實習,工學院,0,招募資訊
工作,工學院,21,招募資訊
離職,工學院,0,招募資訊
新鮮人,工學院,0,招募資訊
畢業,工學院,0,招募資訊
證照,工學院,0,招募資訊
招募人員,工學院,0,招募資訊
正向,工學院,220,情緒
負向,工學院,117,情緒
成就感,理學院,0,成長價值
學習成長,理學院,0,成長價值
創新,理學院,0,成長價值
薪資,理學院,0,經濟報酬
福利,理學院,0,經濟報酬
管理制度,理學院,0,經濟報酬
工作氛圍,理學院,0,人際價值
同事互動,理學院,0,人際價值
主管風格,理學院,0,人際價值
工作地點,理學院,0,組織文化與制度
公司規模,理學院,0,組織文化與制度
工作環境,理學院,0,組織文化與制度
產業前景,理學院,0,組織文化與制度
多元性,理學院,0,組織文化與制度
企業社會責任,理學院,0,組織文化與制度
企業永續目標,理學院,0,組織文化與制度
變化性,理學院,0,組織文化與制度
工學院,理學院,0,科系專業
理學院,理學院,0,科系專業
管理學院/商學院,理學院,0,科系專業
社會學院,理學院,0,科系專業
文學院,理學院,0,科系專業
面試,理學院,0,招募資訊
學經歷,理學院,0,招募資訊
徵才,理學院,0,招募資訊
實習,理學院,0,招募資訊
工作,理學院,0,招募資訊
離職,理學院,0,招募資訊
新鮮人,理學院,0,招募資訊
畢業,理學院,0,招募資訊
證照,理學院,0,招募資訊
招募人員,理學院,0,招募資訊
正向,理學院,0,情緒
負向,理學院,0,情緒
成就感,管理學院/商學院,0,成長價值
學習成長,管理學院/商學院,0,成長價值
創新,管理學院/商學院,0,成長價值
薪資,管理學院/商學院,0,經濟報酬
福利,管理學院/商學院,0,經濟報酬
管理制度,管理學院/商學院,0,經濟報酬
工作氛圍,管理學院/商學院,0,人際價值
同事互動,管理學院/商學院,0,人際價值
主管風格,管理學院/商學院,0,人際價值
工作地點,管理學院/商學院,0,組織文化與制度
公司規模,管理學院/商學院,0,組織文化與制度
工作環境,管理學院/商學院,0,組織文化與制度
產業前景,管理學院/商學院,0,組織文化與制度
多元性,管理學院/商學院,0,組織文化與制度
企業社會責任,管理學院/商學院,0,組織文化與制度
企業永續目標,管理學院/商學院,0,組織文化與制度
變化性,管理學院/商學院,1,組織文化與制度
工學院,管理學院/商學院,0,科系專業
理學院,管理學院/商學院,0,科系專業
管理學院/商學院,管理學院/商學院,1,科系專業
社會學院,管理學院/商學院,0,科系專業
文學院,管理學院/商學院,0,科系專業
面試,管理學院/商學院,0,招募資訊
學經歷,管理學院/商學院,0,招募資訊
徵才,管理學院/商學院,0,招募資訊
實習,管理學院/商學院,0,招募資訊
工作,管理學院/商學院,0,招募資訊
離職,管理學院/商學院,0,招募資訊
新鮮人,管理學院/商學院,0,招募資訊
畢業,管理學院/商學院,0,招募資訊
證照,管理學院/商學院,0,招募資訊
招募人員,管理學院/商學院,1,招募資訊
正向,管理學院/商學院,0,情緒
負向,管理學院/商學院,0,情緒
成就感,社會學院,0,成長價值
學習成長,社會學院,0,成長價值
創新,社會學院,0,成長價值
薪資,社會學院,0,經濟報酬
福利,社會學院,0,經濟報酬
管理制度,社會學院,0,經濟報酬
工作氛圍,社會學院,0,人際價值
同事互動,社會學院,0,人際價值
主管風格,社會學院,0,人際價值
工作地點,社會學院,0,組織文化與制度
公司規模,社會學院,0,組織文化與制度
工作環境,社會學院,0,組織文化與制度
產業前景,社會學院,0,組織文化與制度
多元性,社會學院,0,組織文化與制度
企業社會責任,社會學院,0,組織文化與制度
企業永續目標,社會學院,0,組織文化與制度
變化性,社會學院,0,組織文化與制度
工學院,社會學院,0,科系專業
理學院,社會學院,0,科系專業
管理學院/商學院,社會學院,0,科系專業
社會學院,社會學院,0,科系專業
文學院,社會學院,0,科系專業
面試,社會學院,0,招募資訊
學經歷,社會學院,0,招募資訊
徵才,社會學院,0,招募資訊
實習,社會學院,0,招募資訊
工作,社會學院,0,招募資訊
離職,社會學院,0,招募資訊
新鮮人,社會學院,0,招募資訊
畢業,社會學院,0,招募資訊
證照,社會學院,0,招募資訊
招募人員,社會學院,0,招募資訊
正向,社會學院,0,情緒
負向,社會學院,0,情緒
成就感,文學院,0,成長價值
學習成長,文學院,0,成長價值
創新,文學院,0,成長價值
薪資,文學院,0,經濟報酬
福利,文學院,0,經濟報酬
管理制度,文學院,0,經濟報酬
工作氛圍,文學院,0,人際價值
同事互動,文學院,0,人際價值
主管風格,文學院,0,人際價值
工作地點,文學院,0,組織文化與制度
公司規模,文學院,0,組織文化與制度
工作環境,文學院,0,組織文化與制度
產業前景,文學院,0,組織文化與制度
多元性,文學院,0,組織文化與制度
企業社會責任,文學院,0,組織文化與制度
企業永續目標,文學院,0,組織文化與制度
變化性,文學院,0,組織文化與制度
工學院,文學院,0,科系專業
理學院,文學院,0,科系專業
管理學院/商學院,文學院,0,科系專業
社會學院,文學院,0,科系專業
文學院,文學院,0,科系專業
面試,文學院,0,招募資訊
學經歷,文學院,0,招募資訊
徵才,文學院,0,招募資訊
實習,文學院,0,招募資訊
工作,文學院,0,招募資訊
離職,文學院,0,招募資訊
新鮮人,文學院,0,招募資訊
畢業,文學院,0,招募資訊
證照,文學院,0,招募資訊
招募人員,文學院,0,招募資訊
正向,文學院,0,情緒
負向,文學院,0,情緒
成就感,面試,0,成長價值
學習成長,面試,7,成長價值
創新,面試,0,成長價值
薪資,面試,20,經濟報酬
福利,面試,7,經濟報酬
管理制度,面試,20,經濟報酬
工作氛圍,面試,7,人際價值
同事互動,面試,8,人際價值
主管風格,面試,20,人際價值
工作地點,面試,2,組織文化與制度
公司規模,面試,3,組織文化與制度
工作環境,面試,2,組織文化與制度
產業前景,面試,2,組織文化與制度
多元性,面試,1,組織文化與制度
企業社會責任,面試,0,組織文化與制度
企業永續目標,面試,0,組織文化與制度
變化性,面試,5,組織文化與制度
工學院,面試,1,科系專業
理學院,面試,0,科系專業
管理學院/商學院,面試,0,科系專業
社會學院,面試,0,科系專業
文學院,面試,0,科系專業
面試,面試,87,招募資訊
學經歷,面試,3,招募資訊
徵才,面試,2,招募資訊
實習,面試,10,招募資訊
工作,面試,29,招募資訊
離職,面試,1,招募資訊
新鮮人,面試,0,招募資訊
畢業,面試,2,招募資訊
證照,面試,0,招募資訊
招募人員,面試,7,招募資訊
正向,面試,182,情緒
負向,面試,84,情緒
成就感,學經歷,1,成長價值
學習成長,學經歷,3,成長價值
創新,學經歷,0,成長價值
薪資,學經歷,40,經濟報酬
福利,學經歷,12,經濟報酬
管理制度,學經歷,12,經濟報酬
工作氛圍,學經歷,3,人際價值
同事互動,學經歷,15,人際價值
主管風格,學經歷,10,人際價值
工作地點,學經歷,1,組織文化與制度
公司規模,學經歷,5,組織文化與制度
工作環境,學經歷,8,組織文化與制度
產業前景,學經歷,0,組織文化與制度
多元性,學經歷,2,組織文化與制度
企業社會責任,學經歷,0,組織文化與制度
