,vacancies,post_time,p_year_month,interview_time,content,word,成就感,學習成長,創新,薪資,福利,管理制度,工作氛圍,同事互動,主管風格,工作地點,公司規模,工作環境,產業前景,輪調,外派,出差,引擎,馬力,避震,外觀,操控,安全,堅固,配備,價錢,科技,品質,折舊,品牌,空間,保養,續航,尺寸,車種,驅動,變速箱,電資,機械,製造,車輛工程,品管,多元性,企業社會責任,企業永續目標,面試,徵才,實習,工作,離職,轉職,新鮮人,畢業,出路,能力,招募人員,正向,負向
140,機構工程師,2023.01.31,2023-01,2012.08,面試總共分四階段，第一階段為直屬主管面試，基本會問你前一份工作與相關專業知識。有提供紙本可以現在進行簡易繪製與說明。第二階段為上級主管面試，針對個人特質詢問與為何想來公司。第三階段為處長級面試，基本問得與二級主官差不多。第四階段為HR面試，有進行問題的壓力測試，會一直針對你的回答往下問，直到答不出來為止。後面有說明是要觀察反應與壓力測試。為什麼想來公司？公司風氣很適合自己。專業相關知識，與上一份工作內容？照實回答。因為當天是一天內面試所有主管，建議放輕鬆。否則下午最後一場會很疲憊。面對人資的壓力測試，就按照自己的邏輯清楚回答，不用動氣去爭辯，只是需要看各人反應能力而已。,"['面試', '階段', '階段', '直屬', '主管', '面試', '工作', '相關', '專業', '知識', '提供', '紙本', '現在', '簡易', '繪製', '說明', '階段', '上級', '主管', '面試', '特質', '詢問', '公司', '階段', '處長級', '面試', '主官', '第四', '階段', 'HR', '面試', '問題', '壓力', '測試', '一直', '回答', '答', '後面', '說明', '觀察', '反應', '壓力', '測試', '公司', '公司', '風氣', '適合', '專業', '相關', '知識', '工作', '內容', '照實', '回答', '當天', '面試', '主管', '建議', '放', '輕鬆', '下午', '最後', '疲憊', '面對', '人資', '壓力', '測試', '邏輯', '清楚', '回答', '不用', '動氣', '爭辯', '需要', '各人', '反應', '能力']",0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,4,5,3,286
141,演算法開發工程師,2023.01.18,2023-01,2021.01,"非面板同行者，通常不會問這方面的知識，而是從大方向切入。面相大學或研究所課程的內容，光學/影像處理/色彩學等，看職位而定。此職缺主要是影像處理方面，內容非常簡單，大學的Hello World程度就可以對應。另外就是問程式語言會什麼，目前公司把C#統一作為前端以及後端。至於Python/Matlab..等等那些，實際工作內容根本不會用到。影像處理？建議做一點功課，主要是問了MiniLED Demura的補償原理，。以及具體上的現方法。※績效※。除了白紙黑字的保14以外，績效/分紅通通不建議期待；。尤其是專案會複雜的，績效都會比簡單輕鬆的專案還低。東西越多越難做完整，但老闆就是會挑毛病；。反而越輕鬆的專案，只要沒被挑問題就會績效非常高。此外，公司並非根據事業群發獎勵金，而是看整體營運去分配，。因此最適合的策略是找核心研發單位，但是又最涼的部門。※發展※。目前體感來說，演算法這個東西對公司來說幾乎不重要，。在這裡程式會極度顯著嚴重退步非常多，不適合未來發展純軟。(隔壁IC Team才可以練功)。程式開發環境極度封閉，公司的電腦無法控制相機，與IT反應了半年後，仍然無法改善。因此個人筆電被公司強制徵用了很久，但同時又被警告說 禁止攜帶個人筆電.。※工時※。每週工時分配如下。30% Coding, 35%做報告 35%開會。※轉型※。嘴上說轉型，但是策略上綁手綁腳，實際上都把責任全部丟給RD，。很多雜事要做，也沒加班費。※結論※。總而言之，在這裡把底薪談高才是王道，然後閃躲飄點滿，其他通通不要期待。","['非', '面板', '同行', '通常', '方面', '知識', '大方', '切入', '面相', '大學', '研究', '課程', '內容', '光學', '影像', '處理', '色彩學', '職位', '職缺', '影像', '處理', '方面', '內容', '簡單', '大學', 'Hello', 'World', '程度', '對應', '程式', '語言', '公司', 'C', '統一', '前端', '後端', 'PythonMatlab', '實際', '工作', '內容', '根本', '用到', '影像', '處理', '建議', '一點', '功課', 'Mini', 'LED', 'Demura', '補償', '原理', '具體', '現方法', '績效', '白紙', '黑字', '保', '績效', '分紅', '建議', '期待', '尤其', '專案', '複雜', '績效', '簡單', '輕鬆', '專案', '低', '東西', '難', '完整', '老闆', '毛病', '輕鬆', '專案', '問題', '績效', '高', '公司', '事業群發', '獎勵', '金', '營運', '分配', '適合', '策略', '核心', '研發', '單位', '涼', '部門', '發展', '體感', '演算法', '東西', '公司', '重要', '程式', '顯著', '嚴重', '退步', '不適', '未來', '發展', '軟', '隔壁', 'ICTeam', '功', '程式', '開發', '環境', '封閉', '公司', '電腦', '無法', '控制', '相機', 'IT', '反應', '無法', '改善', '筆電', '公司', '強制', '徵用', '警告', '禁止', '攜帶', '筆電', '工時', '週', '工時', '分配', 'Coding', '報告', '開會', '轉型', '嘴', '轉型', '策略', '綁手綁腳', '實際', '責任', '丟給', 'RD', '雜事', '加班費', '結論', '底薪', '高', '王道', '閃躲', '飄點', '期待']",0,1,0,3,1,1,0,0,0,0,0,1,2,0,0,0,0,656,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,0,0,2,1,0,10,652
142,廠務工程師,2023.01.12,2023-01,2021.09,兩個部門來找，DDR firmware/TV firmware，兩個都有面到，有二面。印象中要先做英文和性向測驗。第一面跟主管談工作內容和碩論等等，之後一周後等通知來二面，選擇往DDR部門繼續。第二面先跟 HR 談 behavioural 大約一小時，之後跟大主管談，大約再花一個半小時。HR還提醒主管可能比較嚴肅，但實際上還算是滿好聊的，給很多找工作的意見。整個流程到拿 offer 大約三週左右。上一份工作為何離職？個人回答。台灣的部門主要都是在做軟韌體。主要是投爽的，版上心得應該也很多。第一關是線上題目，兩題 Easy，懷疑這真的有鑑別度嗎。之後等一週通知面試。面試是兩次 code interview，考C/C++，。第一次考C，因為我對C不熟，所以寫完對 corner case 就沒有處理得很好，。之後一些C的問題也沒答出來。第二次考C++，這次的題目在面 Google 時有遇過同一個資料結構，所以很快就寫出來。想當然就涼了，有問我對另一個 Wifi team 的意願，但已經收關了就推掉了。,"['部門', 'DDRfirmware', 'TVfirmware', '面到', '二面', '印象', '英文', '性向', '測驗', '一面', '主管', '工作', '內容', '碩論', '周', '通知', '二面', '選擇', 'DDR', '部門', '繼續', '二面', 'HR', 'behavioural', '小時', '主管', '小時', 'HR', '提醒', '主管', '嚴肅', '實際', '好聊', '找工作', '意見', '流程', 'offer', '週', '工作', '離職', '回答', '台灣', '部門', '軟韌體', '爽', '心得', '線上', '題目', 'Easy', '懷疑', '鑑別度', '週', '通知', '面試', '面試', 'codeinterview', 'CC', 'C', 'C', '熟', '寫完', 'cornercase', '處理', 'C', '問題', '答出來', 'C', '題目', 'Google', '時', '資料', '結構', '寫出來', '想當然', '涼', 'Wifiteam', '意願', '收關', '推掉']",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,3,1,0,0,0,0,0,5,1,453
143,研發工程師,2023.01.10,2023-01,2014.08,"先到大廳櫃台說跟某人茲約面試, 被帶去測英文及邏輯測驗, 之後跟主管面試後, 再人資面試, 之後電話通知錄取, 整體花費約兩小時。以下是面試問題。Q1.介紹一下你自己。Q2.你覺得你的缺點是什麼。Q3.你為什麼想離開現在的公司。Q4.你對3~5年的職涯目標規畫如何。Q5.為什麼我們要僱用你?。Q6.分享你遇過最大的挑戰以及你如何因應。A:最大的挑戰就是需要在一個月內的時間送樣給客戶。我需要收集資料並考慮清楚所下的條件是否能達到我的實驗目的。我以我過去所學的知識並在同事的互相協助下完成了那次的送樣。分享你遇過最大的挑戰以及你如何因應？最大的挑戰就是需要在一個月內的時間送樣給客戶。我需要收集資料並考慮清楚所下的條件是否能達到我的實驗目的。我以我過去所學的知識並在同事的互相協助下完成了那次的送樣。建議面試前先上PTT看其他人的面試心得, 平常可以多練習英文聽力, 找親朋好友練習面試口才, 針對面試常問的題目寫好草稿背起來","['大廳', '櫃台', '某人', '茲約', '面試', '帶去', '英文', '邏輯', '測驗', '主管', '面試', '人資', '面試', '電話', '通知', '錄取', '花費', '小時', '以下', '面試', '問題', 'Q1', '介紹', 'Q2', '缺點', 'Q3', '離開', '現在', '公司', 'Q4', '職涯', '目標', '規畫', 'Q5', '僱用', 'Q6', '分享', '挑戰', '因應', '挑戰', '需要', '時間', '送', '客戶', '需要', '收集', '資料', '考慮', '清楚', '條件', '達到', '實驗', '目的', '過去', '知識', '同事', '協助', '完成', '送樣', '分享', '挑戰', '因應', '挑戰', '需要', '時間', '送樣', '客戶', '需要', '收集', '資料', '考慮', '清楚', '條件', '達到', '實驗', '目的', '過去', '知識', '同事', '協助', '完成', '送樣', '建議', '面試', 'PTT', '面試', '心得', '平常', '練習', '英文', '聽力', '親朋好友', '練習面', '試口', '面試', '題目', '寫好', '草稿', '背']",0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,2,6,413
144,光學工程師,2023.01.09,2023-01,2022.08,首先面試到的是副理，先簡單的自我介紹並且把經歷從大概說一次。副理再依照我提供的資料去詢問問題，大部分都是跟經歷裡面有關的光學問題，。然後副理再介紹出差地點、工作福利條件、工作環境還有薪資等等。之後等了約30分鐘面經理問題與副理大致上都一樣。大學專題光學問題？分享使用如何的光學技巧解決問題。面試過程非常的輕鬆，完全沒有壓力，經理與副理都是非常好的人。所以只要能放輕鬆，基本上沒有什麼問題，不太會刁難。,"['面試到', '副理', '簡單', '自我介紹', '經歷', '副理', '提供', '資料', '詢問', '問題', '大部分', '經歷', '光學', '問題', '副理', '介紹', '出差', '地點', '工作', '福利', '條件', '工作環境', '薪資', '分鐘面', '經理', '問題', '副理', '大致上', '大學', '專題', '光學', '問題', '分享', '使用', '光學', '技巧', '解決問題', '面試', '過程', '輕鬆', '完全', '壓力', '經理', '副理', '放', '輕鬆', '問題', '刁難']",0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,5,5,195
145,專案實習生,2023.01.09,2023-01,2022.1,起初會收到細心度測驗、職能測驗、英文測驗，細心度就是判讀兩者有無不一樣，職能測驗是有關你最在乎的如：升職機會、員工福利、工作開放程度，英文就是簡短的多益類型題目。會不知道來面試你的主管是甚麼類型的，面試主要流程是先介紹自己製作的專案，但面試官能問的問題有限，不是相關專業的人員，都是先有專案題目才找相關專業的人。專案相關問題？回答專案。公司比較想要找即戰力，不是學習類型的能力，或許有更多相關的專業開發經驗才是最符合公司想要的人，簡單來說媒合很吃運氣。,"['收到', '細心', '測驗', '職能', '測驗', '英文', '測驗', '細心', '判讀', '職能', '測驗', '在乎', '升職', '機會', '員工', '福利', '工作', '開放', '程度', '英文', '簡短', '多益', '類型', '題目', '面試', '主管', '類型', '面試', '流程', '介紹', '製作', '專案', '面試官', '問題', '有限', '相關', '專業', '人員', '專案', '題目', '相關', '專業', '專案', '相關', '問題', '回答', '專案', '公司', '戰力', '學習', '類型', '能力', '更多', '相關', '專業', '開發', '經驗', '符合', '公司', '簡單', '媒合', '運氣']",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,1,0,0,0,0,0,5,2,4,225
146,AI工程師,2023.01.06,2023-01,2020.09,一開始先進行筆試，總共分三個，性向測驗、英文測驗及專業測驗，英文考試的難度大概就是跟多益差不多，專業測驗內容涉及範圍較廣，有包含Html、影像處理、AI人工智慧，結束後與小主管面談，過程很愉快，內容有自我介紹、統計方面了解哪些面向、大致講解論文內容，主管介紹部門工作內容很詳細，有問題也都很耐心的回答，過程花費3.5小時，大約一週後接到複試的通知，複試採用視訊面試，主要先自我介紹後，問幾個跟論文有關的問題，之後大主管講解一下工作內容及單位，過程大概40分鐘左右。在大學接觸AI有多少？碩士的時候有上過相關的課程，也有分組進行專題。是否錄取還是較看大主管的想法，如果是新鮮人的話，有專題或是一些相關經驗可以多加準備，大主管會比較有興趣去了解,"['筆試', '性向', '測驗', '英文', '測驗', '專業', '測驗', '英文', '考試', '難度', '多益', '專業', '測驗', '內容', '涉及', '範圍', '廣有', '包含', 'Html', '影像', '處理', 'AI', '人工', '智慧', '主管', '面談', '過程', '愉快', '內容', '自我介紹', '統計', '方面', '面向', '講解', '論文', '內容', '主管', '介紹', '部門', '工作', '內容', '詳細', '問題', '耐心', '回答', '過程', '花費', '小時', '週', '接到', '複試', '通知', '複試', '採用', '視訊', '面試', '自我介紹', '論文', '問題', '主管', '講解', '工作', '內容', '單位', '過程', '分鐘', '大學', '接觸', 'AI', '碩士', '相關', '課程', '分組', '專題', '錄取', '主管', '想法', '新鮮人', '專題', '相關', '經驗', '多加', '準備', '主管', '有興趣']",0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,2,0,0,1,0,0,3,5,3,320
147,智慧製造工程師,2022.12.28,2022-12,2021.08,面試總共有三個階段。第一階段先和副理級的主管面試，。過程中主要都是以自己準備的PPT做說明，。主管再根據我說明的部分進行提問，。整體給人的感覺不會太差，而且也都對我很客氣；。第二階段則是和經理級的主管面試，。跟第一階段的模式差不多，差別在於第一階段會問比較多技術面的部份，。而第二階段則是比較偏向人格與較廣泛的問題；。最後一階段則是與HR進行談話，。主要也是詢問一些基本的人格問題，。整體面試體驗不差，。能挑毛病的部分大概就是整個過程拉得很長，從一面二面三面到取得Offer總共一個月左右。CPS專案的部分能大概說明一下嗎?？主要是提問我在碩班做的CPS產學合作計畫，其實基本上都是講什麼就被問什麼，。所以準備的資料一定要很熟悉回答得出來。除了講話不要結巴之外，。最主要是自己準備的東西一定要很熟，。不要別人聽完提問之後，反而回答不出來，。這樣感覺很扣分。,"['面試', '階段', '階段', '副理', '主管', '面試', '過程', '準備', 'PPT', '說明', '主管', '說明', '提問', '感覺', '差', '客氣', '階段', '經理級', '主管', '面試', '階段', '模式', '差別', '階段', '技術', '部份', '階段', '偏向', '人格', '廣泛', '問題', '最後', '階段', 'HR', '談話', '詢問', '人格', '問題', '體面', '體驗', '差', '毛病', '整個', '過程', '拉', '一面', '二面', '取得', 'Offer', 'CPS', '專案', '說明', '提問', '碩班', 'CPS', '合作', '計畫', '準備', '資料', '熟悉', '回答', '講話', '結巴', '之外', '準備', '東西', '熟', '聽完', '提問', '回答', '感覺', '扣分']",0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,1,5,2,379
148,前端工程師,2022.12.23,2022-12,2019.09,面試總共有三關，。第一關是英文&性向測驗，英文測驗是小型的多益測驗，一樣會有聽讀寫，但是總共只有二十幾題左右，HR 會帶到會議室，架好設備之後就開始測驗，時間到了才會再進來。第二關面了部門主管和PM主管，部門主管有大概介紹了公司的福利，進去之後的工作內容，內容大多是閒聊，沒有問到技術。第三關是處長進來面試，也是閒聊居多，講講之後的規劃。有問到之前和後端工程師合作的方式？照實回答。台北友達只有兩個處有前端，一個處是用 vue，一個用 angular，要看去哪個處，。我進的是用 vue 的那個處，當初進去是唯一的前端，現在算是有兩位會負責前端，。目前產品有使用到的是 vue2+bootstrap4，。主管對於使用的技術或框架不會限制，只要可以解決問題就好，。但是友達生態就是長官出巡的事情蠻多的，要可以適應報告跟 demo 很多,"['面試', '英文', '性向', '測驗', '英文', '測驗', '小型', '多益', '測驗', '聽', '讀寫', '二十幾', 'HR', '帶到', '會議室', '架好', '設備', '測驗', '時間', '關面', '部門', '主管', 'PM', '主管', '部門', '主管', '介紹', '公司', '福利', '工作', '內容', '內容', '閒聊', '問到', '技術', '處長', '面試', '閒聊', '居多', '講講', '規劃', '問到', '後端', '工程師', '合作', '方式', '照實', '回答', '台北', '友達', '前端', 'vue', 'angular', '看去', 'vue', '當初', '唯一', '前端', '現在', '負責', '前端', '產品', '使用到', 'vue2bootstrap4', '主管', '使用', '技術', '框架', '限制', '解決問題', '友達', '生態', '長官', '出巡', '事情', '適應', '報告', 'demo']",0,1,0,0,1,0,0,1,4,0,0,0,2,0,0,0,0,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,5,2,366
149,作業員,2022.12.21,2022-12,2022.03,"一進去就是先跟警衛哨所交換證件進廠面試。報到後為統一筆試,考細心度及專注度測驗。我覺得題目稍多 不宜寫太久不然會寫不完。交卷後等待主管一一通知面試,通常面試的就是你未來主管。就問一些 有沒有無塵室經驗呀,能不能接受輪班之類的問題。我那時候的專注度測驗題目太多沒回答完所以好像是沒及格。不過主管有讓我重填寫一次就有及格(應該是他想要你才會這樣)。能不能接受夜班？剛好家人有在友達上班 所以夜班剛好是跟家人為A系列的班別。四二輪班別分為四個 DA NA DB NB。我覺得這是一份穩定的工作。不過就是稍嫌枯燥乏味的工作。收入就是不會讓你餓死。但也不太多的工作。還要穿無塵服工作看你們能不能接受了","['警衛哨', '交換', '證件', '面試', '報到', '統一', '筆試', '細心', '專注度', '測驗', '題目', '稍', '不宜', '完', '交卷', '等待', '主管', '一一', '通知', '面試', '通常', '面試', '未來', '主管', '無塵室', '經驗', '接受', '輪班', '問題', '專注度', '測驗', '題目', '回答完', '好像', '及格', '主管', '重', '填', '及格', '接受', '夜班', '家人', '友達', '上班', '夜班', '家人', '系列', '班別', '四二', '輪班', 'DANADBNB', '穩定', '工作', '稍嫌', '枯燥', '乏味', '工作', '收入', '餓死', '工作', '無塵服', '工作', '接受']",0,0,0,0,0,4,0,0,3,0,0,1,0,0,0,0,0,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,4,0,0,0,0,0,0,3,1,294
150,人才發展管理師,2022.12.14,2022-12,2022.08,剛開始是由招募HR電話聯繫，確認基本狀況後，在一個月內展開四次個別視訊面試。每關面試官重視的是面試者思考的迭代方式。就算本科不是人資，他們重視的是在快速變化的時代，是否能就不同領域的背景以不同的方式快速因應目前人才發展的需求。面試官的態度都非常的好。感覺得出來是很重視人才的公司。請分享先前的專案經歷？我自己本身是HR招募專業，但同時對於教育訓練有部分的接觸。所以一直在精進教育訓練的知識。最近一份工作是與海外專案相關的內容。建議先了解一下友達目前的策略目標，可以再面談當中將自己目前能利用的上的部分與公司的策略目標做結合。至少能多幾次面談的機會。,"['招募', 'HR', '電話', '聯繫', '確認', '狀況', '展開', '視訊', '面試', '面試官', '重視', '面試', '思考', '迭代', '方式', '人資', '重視', '快速', '變化', '時代', '領域', '背景', '方式', '快速', '因應', '人才', '發展', '需求', '面試官', '態度', '感覺', '重視', '人才', '公司', '分享', '先前', '專案', '經歷', 'HR', '招募', '專業', '教育訓練', '接觸', '一直', '精進', '教育訓練', '知識', '工作', '海外', '專案', '相關', '內容', '建議', '友達', '策略', '目標', '面談', '利用', '公司', '策略', '目標', '結合', '至少', '面談', '機會']",0,2,0,0,0,2,0,0,0,0,1,0,2,0,1,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,2,1,0,0,2,0,1,1,5,0,275
151,工程師,2022.12.12,2022-12,2022.1,面試新竹研發部的工程師，小主管跟大主管都非常友善與客氣。主要詢問大學或研究所做過的專題，並了解你的人格特質。沒有太艱難或刁鑽的問題，整體下來面談的感受很好。友達的環境真的是很不錯，公司很氣派，跟兩個主管各面了一個小時。主要都是一些經典問題，最大挫折、對自己的展望之類的？照實回答。放輕鬆誠實表現自己即可，對於自己大學跟研究所在做什麼很重要。感覺友達是願意帶新人的，面試不要跑錯廠區了,"['面試', '新竹', '研發部', '工程師', '主管', '主管', '友善', '客氣', '詢問', '大學', '研究', '專題', '人格', '特質', '艱難', '刁鑽', '問題', '下來', '面談', '感受', '友達', '環境', '不錯', '公司', '氣派', '主管', '小時', '經典', '問題', '挫折', '展望', '照實', '回答', '放', '輕鬆', '誠實', '表現', '大學', '研究', '重要', '感覺', '友達', '願意', '新人', '面試', '跑錯', '廠區']",0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,8,191
152,廠務工程師,2022.11.26,2022-11,2021.07,因疫情關係是視訊面試，第一關面試跟部門副理，一開始自我介紹後就依照過往工作經歷及論文內容進行問答（面試前建議多順幾次自我介紹內容，並要簡敘之前工作內容及職位等，若沒有工作經驗就多著墨在論文內容的發想及執行等來湊時間），後續長官先詢問是否了解廠務工作內容（儀電、空調、水、氣化的工作內容），後續長官詢問最快上班日期、福利薪資等，以及面試的課別主要工作內容。自我介紹？依個人經歷回答。廠務工作內容？依投的課別（儀電、空調、水及氣化）。氣化課主要內容是穩定提供符合標準的化學品及氣體。面試前先了解主要工作內容，通常能面試且了解主要工作方向都能順利錄取，廠務工程師要團隊合作的解決異常，建議面談時多談到有良好的溝通及團隊合能力。,"['疫情', '關係', '視訊', '面試', '面試', '部門', '副理', '自我介紹', '過往', '工作', '經歷', '論文', '內容', '問答', '面試', '建議', '自我介紹', '內容', '簡敘', '工作', '內容', '職位', '工作經驗', '著墨', '論文', '內容', '發想', '執行', '湊', '時間', '後續', '長官', '詢問', '廠務', '工作', '內容', '儀電', '空調', '水氣化', '工作', '內容', '後續', '長官', '詢問', '上班', '日期', '福利', '薪資', '面試', '課別', '工作', '內容', '自我介紹', '經歷', '回答', '廠務', '工作', '內容', '課別儀', '空調', '氣化', '氣化課', '內容', '穩定', '提供', '符合', '標準', '化學品', '氣體', '面試', '工作', '內容', '通常', '面試', '工作', '方向', '順利', '錄取', '廠務', '工程師', '團隊', '合作', '解決', '異常', '建議', '面談', '時', '談到', '良好', '溝通', '團隊', '能力']",0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,311,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,9,0,0,0,0,0,3,1,4,311
153,uiux,2022.11.17,2022-11,2022.1,視訊面試，一位leader和其他三位同仁一起面試，leader主要提問，蠻有經驗的專業人士，他們可能要的是很有經驗的UIUX，問得問題簡單，但是也能切中要害，leader會代表其他同仁的問題來做提問。可接受到新竹出差嗎？可。公司內有無UIUX流程？公司沒特別規定正式流程。友達光電面試完，感覺的出來他們的UIUX Team是很專業的，若是能進去應該是不錯的跳板，建議也能嘗試看看。,"['視訊', '面試', 'leader', '同仁', '面試', 'leader', '提問', '經驗', '專業', '人士', '經驗', 'UIUX', '問題', '簡單', '切中', '要害', 'leader', '代表', '同仁', '問題', '提問', '接受到', '新竹', '出差', '公司', 'UIUX', '流程', '公司', '特別', '規定', '正式', '流程', '友達', '光電', '面試完', '感覺', 'UIUXTeam', '專業', '不錯', '跳板', '建議', '嘗試']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,2,0,2,191
154,儲能系統專案業務,2022.10.28,2022-10,2022.09,友達新創部門，主要是做儲能系統的，因要尋找有工程背景又對儲能機電方面的人不容易，所以在找有工程背景的人來培養，成為業務。薪資條件：說是不會管你寫的希望待遇，會由主管討論出覺得可以給你多少就是多少，即使比希望待遇少，要調整空間有大概3-5%左右。整體面試花費了4小時，從部門主管、部門經理到單位副總，還從本廠跑去2廠面試⋯⋯公司環境看起來不錯。業務層面問題？問了很多關於自我挑戰，還有業務層面，遇到刁鑽客戶該怎麼處理等等情境題，還問了很多關於本人目前就職的專業，替公司爭取到或是做到什麼具體影響。整體而言詢問的東西都偏向如何解決客戶問題，自我提升，等等問題（業務職缺），有提到部門不一定會有教育訓練，且因為需要人，可能會有趕鴨子上架的情況，給你學習的時間不會太多，建議有機電相關經驗的人較適合！,"['友達', '新創', '部門', '儲能', '系統', '尋找', '工程', '背景', '儲能', '機電', '方面', '容易', '工程', '背景', '培養', '成為', '業務', '薪資', '條件', '希望', '待遇', '主管', '討論出', '希望', '待遇', '少', '調整', '空間', '體面', '花費', '小時', '部門', '主管', '部門', '經理到', '單位', '副總', '跑去', '面試', '公司', '環境', '不錯', '業務', '層面', '問題', '自我', '挑戰', '業務', '層面', '遇到', '刁鑽', '客戶', '處理', '情境題', '就職', '專業', '公司', '爭取到', '做到', '具體', '影響', '詢問', '東西', '偏向', '解決', '客戶', '問題', '自我', '提升', '問題', '業務', '職缺', '提到', '部門', '不一定', '教育訓練', '需要', '鴨子', '上架', '情況', '學習', '時間', '建議', '機電', '相關', '經驗', '適合']",0,2,0,3,0,1,1,0,2,0,0,1,0,0,0,0,0,347,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,1,2,5,345
155,EE,2022.10.24,2022-10,2020.08,面試會由副理先來面試，請你做簡單的自我介紹，闡訴自己大學的得獎專題、研究所的論文、分享遊學和課外參加活動…等等。沒有什麼太多專業的問答，頂多針對自己專題及論文做一次詳細的報告，且詢問在這段期是否有遇到挫折的事情，怎麼解決。再來就換經理面試，說進來可以在學，薪水在竹科算pr75，薪水給的還不錯，不然竹科過個馬路就可以跳巢，希望可以留住人才。最後，HR電話通知錄取，給予電子offer。大學專題、研究所論文？如實回答。剛出社會的新鮮人可以進來練功當跳板，是一個很好學習的環境，但學習曲線算比較緩和，有好有壞，看自己怎麼想。,"['面試', '副理', '面試', '簡單', '自我介紹', '闡訴', '大學', '獎', '專題', '研究', '論文', '分享', '遊學', '課外', '參加', '活動', '專業', '問答', '專題', '論文', '詳細', '報告', '詢問', '段期', '遇到', '挫折', '事情', '解決', '經理', '面試', '說進來', '在學', '薪水', '竹科', 'pr', '75', '薪水', '不錯', '竹科', '馬路', '跳巢', '希望', '留住', '人才', '最後', 'HR', '電話', '通知', '錄取', '給予', '電子', 'offer', '大學', '專題', '研究', '論文', '如實', '回答', '社會', '新鮮人', '功', '跳板', '學習', '環境', '學習', '曲線', '緩和', '壞看']",0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,1,2,4,262
