,Unnamed: 0,company_name,vacancies,post_time,interview_time,rank,status,difficult,process,question,suggestion
16,16,裕隆集團_納智捷汽車股份有限公司,行政人員,2019.09.19,2016.1,5,錄取,普通,,[],
17,17,裕隆集團_納智捷汽車股份有限公司,服務專員,2019.08.12,2019.06,3,無聲卡,普通,一進去生活館，確實是...,"[{'Q': '有無相關經驗', 'A': '有，在他牌也是擔任同...'}]",
18,18,裕隆集團_納智捷汽車股份有限公司,行政專員,2018.05.23,2018.05,4,等待中,簡單,先進去做職能測驗，再...,"[{'Q': '為什麼從業務端轉到行政', 'A': '因為想要嘗試不同面向...'}]",
19,19,裕隆集團_納智捷汽車股份有限公司,企劃人員,2017.10.21,2017.1,5,等待中,簡單,先做20分鐘筆試測驗...,"[{'Q': '你為什麼選擇我們公司？', 'A': '因為目前想要轉換產業...'}]",
20,20,裕隆集團_納智捷汽車股份有限公司,人資專員,2016.06.07,2016.01,3,其他,簡單,,"[{'Q': '你為什麼選擇我們公司？', 'A': '離家近，可把較多心力...'}]",
21,21,Luxgen_北智捷汽車股份有限公司,行政人員,2020.07.30,2017.08,4,錄取,普通,到了約10分鐘，主管...,"[{'Q': '是否害怕面對人群', 'A': '不會害怕，因為曾經做...'}]",
22,22,Luxgen_北智捷汽車股份有限公司,企劃專員,2019.12.10,2019.11,1,無聲卡,低,一開始遞上面試官的名...,"[{'Q': '前些工作的任職時間？', 'A': '照實回答。'}]",
23,23,Luxgen_北智捷汽車股份有限公司,汽車銷售顧問,2019.02.14,2019.01,2,無聲卡,低,這個是印象最不好的一...,"[{'Q': '沒面試到,所以沒問題', 'A': '無回達'}]",
24,24,Luxgen_北智捷汽車股份有限公司,業務,2019.01.10,2019.01,2,錄取,簡單,初面的時候由經理面談...,"[{'Q': '你對那智傑的了解', 'A': '基本上去公視面試都會...'}]",
25,25,Luxgen_北智捷汽車股份有限公司,業務,2018.08.23,2016.08,5,錄取,簡單,問的問題很簡單 副理...,"[{'Q': '問為什麼想往業務發展', 'A': '想超越自己'}]",
26,26,Luxgen_北智捷汽車股份有限公司,業務,2018.01.26,2017.05,4,錄取,簡單,面試業務是在納智捷的...,"[{'Q': '你為什麼想在這工作？', 'A': '不想付出了很多努力還...'}]",
27,27,Luxgen_北智捷汽車股份有限公司,銷售顧問,2017.09.21,2017.07,4,其他,簡單,進到公司後，表明是來...,"[{'Q': '為何想從事這份工作', 'A': '因為有跟興趣結合'}]",
28,28,LUXGEN納智捷汽車_中智捷汽車股份有限公司,職員,2021.12.19,2017.09,5,錄取,普通,2017年我才剛出社...,"[{'Q': '問我為什麼選擇汽車這份行業', 'A': '看好未來產業的缺工，...'}]",
29,29,LUXGEN納智捷汽車_中智捷汽車股份有限公司,引擎技師,2021.12.11,2016.09,5,錄取,簡單,面試過程就是簡單的自...,"[{'Q': '為甚麼想來我們公司', 'A': '因為我對車子非常的有...'}]",
30,30,LUXGEN納智捷汽車_中智捷汽車股份有限公司,行銷行政助理,2021.05.19,2021.04,3,無聲卡,低,Luxgen總公司幕...,"[{'Q': '自我介紹', 'A': '依個人情況回答'}]",
31,31,LUXGEN納智捷汽車_中智捷汽車股份有限公司,行銷企劃,2021.04.17,2018.08,4,未錄取,超高,此次面試有3階段(總...,"[{'Q': '如何面對壓力?', 'A': '我通常會運動或閱讀，...'}]",
32,32,LUXGEN納智捷汽車_中智捷汽車股份有限公司,行政出納,2021.03.10,2019.09,4,錄取,普通,"第一次面試
人事會...","[{'Q': '有結婚打算嗎', 'A': '照實回答，有男友，但...'}]",
33,33,LUXGEN納智捷汽車_中智捷汽車股份有限公司,引擎技師,2020.11.29,2016.09,4,錄取,普通,當天去面試，面試我的...,"[{'Q': '你認為我為何一定要錄取你?', 'A': '雖然我非本科系畢業，...'}]",
34,34,LUXGEN納智捷汽車_中智捷汽車股份有限公司,職員,2020.11.03,2017.09,4,錄取,普通,由老師帶至服務廠與廠...,"[{'Q': '為何轉換跑到', 'A': '因為之前擔任美髮業薪...'}]",
35,35,LUXGEN納智捷汽車_中智捷汽車股份有限公司,行政職位,2020.04.09,2019.1,4,錄取,普通,一進公司簡單打個招呼...,"[{'Q': '為何要轉型行政會計的想法與規劃?', 'A': '在面試前需要對公司有...'}]",
36,36,LUXGEN納智捷汽車_中智捷汽車股份有限公司,行銷業務,2019.11.12,2013.05,3,錄取,低,主管是新店總店店經理...,"[{'Q': '你的住宿問題該如何解決？', 'A': '我當時舊租處租約到期...'}]",
37,37,LUXGEN納智捷汽車_中智捷汽車股份有限公司,專員,2019.08.20,2016.11,5,錄取,低,整體環境不錯，如果想...,"[{'Q': '為什麼會來', 'A': '照自己意思回答就可以'}]",
38,38,LUXGEN納智捷汽車_中智捷汽車股份有限公司,行銷企劃,2019.05.27,2019.05,4,無聲卡,普通,第一關會先請你填基本...,"[{'Q': '你是否看過公司的廣告 印象最深刻的是哪部分的畫面呢？', 'A': '照實回答，面試官問問...'}]",
39,39,LUXGEN納智捷汽車_中智捷汽車股份有限公司,客休室工讀生,2018.03.28,2018.01,2,等待中,簡單,面試時是比較以聊天的...,"[{'Q': '面試前需再填寫一份公司的履歷', 'A': '除了基本資料外，需寫...'}]",
40,40,LUXGEN納智捷汽車_中智捷汽車股份有限公司,企劃部/行銷企劃專員,2017.07.28,2017.05,4,其他,簡單,第一次面試是由企劃部...,"[{'Q': '因為展覽需求,是否能夠接受假日加班?', 'A': '是的,只要公司依照勞...'}]",
41,41,裕隆集團_裕隆汽車製造股份有限公司,客服,2023.03.24,2023.01,1,等待中,簡單,覺得很浪費時間，我面試大夜班，到現場要先測試聽力打字，現場很吵，然後反應也沒用，也不知道在測什麼的，感覺是測爽的，然後果然面試官就說要從日班開始，日班薪水也是由一堆薪資結構湊到30k，也就是你要想辦法上到大夜給的38-42k，你可能要在公司待個一年以上吧，然後中間會很多考核，很多複雜的考核方式給錢這部分我就沒記很清楚,"[{'Q': '沒有問問題', 'A': '基本上都是在講解工作內容'}]",如果你想考車險，他這邊好像會培訓你考證照大概是這樣，我覺得就是普通的客服，薪水就30k差不多就這樣了，要拿到上面的高薪難
42,42,裕隆集團_裕隆汽車製造股份有限公司,職員,2023.03.06,2018.01,5,錄取,普通,主管是一個溫文儒雅的先生 真的感覺得出來他非常誠懇 然後問的問題沒有太多深入的題目 主要就是針對你的論文內容進行詢問 我覺得他很看人格特質 有種第一眼就決定面試是否成功的感覺 我覺得這主管真的是很老實 不會去為難別人 不會有壓力測試,"[{'Q': '論文的撰寫困難', 'A': '照實回答'}]",這家公司印象中是華創 現在也不在了吧 不過基本上裕隆集團真的很讚 到了鬼月還有放假跟旅遊補助 但也是很久以前了，不得現在還有沒有
43,43,裕隆集團_裕隆汽車製造股份有限公司,物料管理實習生,2023.03.02,2022.05,5,錄取,低,面試是以視訊面試進行，除了HR以外還有一個物料管理部門的主管（？）之類的長官，整體面試進行的蠻順利的，也沒有不被尊重的感覺，也有細心跟我解釋公司的一些制度還有需要實習生注意的項目。面試時間大概半個小時。,"[{'Q': '自我介紹 3 分鐘', 'A': '主要針對專業領域跟未來規畫進行描述，還有自己的特質（我是回答喜歡學習），並用經驗佐證'}, {'Q': '針對履歷內容問問題', 'A': '(1)擔任幹部遇到的挫折及解決方式\n(2)擔任公關時與廠商溝通遇過什麼難忘的經驗?\n(3)詳述打工經驗和工作內容\n(4)分享一下經營電商的經驗（履歷中有提到我有經營蝦皮賣自己的原創小物）\n這部分因為有點私人又太細就不一一回答了'}, {'Q': '為什麼想來暑期實習? 想學到什麼?', 'A': '提早體驗職場文化、讓自己的暑假有充實到、希望能在多做多問多學的環境中增強自己並補足缺失，還有因為自己的專業是工工相關，所以主要是說希望能發揮所學，並認識公司文化。'}, {'Q': '最近關注的物流議題及對議題的看法是?', 'A': '我回答的是有關外送平台的配送路線和顧客滿意度的議題。'}, {'Q': '認為自己有什麼優缺點?', 'A': '優點我回答有責任感，缺點我回答有時候會因為太有責任感變成濫好人，但最後面有說最近有在改善。'}, {'Q': '有沒有投其他的實習? 優先去哪實習?', 'A': '如實回答，我有提到如果其他家都有上的話才會綜合考量，但以實習內容而言對物料管理是有興趣的，所以會放在前幾順位。'}, {'Q': '有什麼其他的問題?', 'A': '我有問說需不需要準備什麼先備能力。'}]",可以多了解跟實習部門工作內容相關的時事議題，並有自己的想法。另外，履歷中與部門相關的經歷就算不太重要也可以放上去，HR可能就會問到。
44,44,裕隆集團_裕隆汽車製造股份有限公司,職員,2023.02.16,2021.06,4,無聲卡,低,先遠端考英文及專業測驗，大約1個半小時，而後開始視訊面試。面談大約進行一小時，面試官有3-4位，一開始先自我介紹，主管便循著履歷開始問問題，比較多開放式問答，專業的部分反而問不多，最後會留時間給面試者發問，可以事先準備幾個想問的問題。,"[{'Q': '簡述碩士論文對該領域的貢獻', 'A': '依實際研究成果回答。'}]",建議可以花時間看看公司官網跟永續報告書、想想為何想到裕隆上班？自身學經歷背景跟應徵職缺的連結等問題。
45,45,裕隆集團_裕隆汽車製造股份有限公司,品質檢驗員,2023.02.10,2022.12,3,錄取,簡單,"大門換證帶小黃卡
人資帶到辦公室，考量測及英文
第一次接觸品檢很多量測題目真的看不太懂
後來主管面試，大致上介紹工作環境
聊以前工作狀況之類的
不過近來先是人力，三個月後轉正
面試花費的時間大概快2個小時
主管口頭直接給off了","[{'Q': '為什麼要來我們公司', 'A': '如實回答，不想輪班工作'}]",薪資才3萬多一點，工作算輕鬆，內部主管幾乎都是靠年資上位，主管能力不足，都是靠底下員工溝通解決，希望有能力的人替代主管
46,46,裕隆集團_裕隆汽車製造股份有限公司,製程改善工程師,2023.01.16,2021.06,4,錄取,普通,面試開始介紹自己之前工作經驗，自身學經歷汽車有關，問汽車相關知識，會問QC七大手法及WHYWHY分析，現場溝通及改善課題想法，承接儲能相關製程與改善設備優化，量測工時分析線上瓶頸工站，與解決各單位討論如何分配作業編成及作業人員充實度。,"[{'Q': '為何會想進裕隆', 'A': '自身學與維修都與汽車相關，上手時間快速，有改善想法(舉例)'}]",如果你住在三義附近很適合在那裡混日子，裕隆不會倒，新事業(儲能，維運，醫材，ESG，對外服務)，事情很多讓你做不完，報告做不完，無意義的會議很多，很常當事務局
47,47,裕隆集團_裕隆汽車製造股份有限公司,生產技術工程師,2023.01.10,2020.08,3,錄取,普通,首先會先了解你個人的特質，因為公司流動率非常的高，所以只要溝通沒有問題就可以直接進來，再來因為職務是生技工程師所以會開始了解你對於現場的狀態會不會排斥(簡單來說就是要快、品質要高、費用要低)，以及之後工作內容你可以幫忙公司帶入多少的效益,"[{'Q': '對於汽車你了解多少', 'A': '因為本身並非汽車本科出身，所以對車子不了解，只知道四門兩蓋還有五油三水'}]","除非你很喜歡寫報告、開會追進度，不然不要進來，尤其是跟現場有相關的
我一天8h可以開超過5場會，常常一件事情都沒做完後面已經排了10件事情在等，所以事情永遠做不完，然後還一堆會議追著你打"
48,48,裕隆集團_裕隆汽車製造股份有限公司,檢驗員,2022.12.13,2011.08,5,錄取,普通,我是應徵技能員，面試是科長及領班二人面試，面試會問你為什麼想來我們公司，我回答裕隆那麼大間當然想進來啊，再問平時有什麼興趣及消遣，我回答讀書考一些有用的證照、假日去逛街、看電影、衝浪等活動，然後會問你會在這裡做長久嗎？我回答當然會啊，不然我幹嘛來應徵。,"[{'Q': '為什麼想來我們公司', 'A': '裕隆那麼大間當然要來啊'}]",別來這間公司做技能員，吃力不討好，做到老鳥了，懂的多了開始做工程師的工作，在這間公司對技能員很不友善，好的福利都是職員的，我做了11年，該考的證照考到了，不如歸去，如果你是來應徵工程職的歡迎。
49,49,裕隆集團_裕隆汽車製造股份有限公司,資料庫工程師,2022.12.03,2022.08,4,未錄取,高,"視訊面試，先進行職務相關筆試，題型分為選擇題及簡答題，大概一小時。
英文筆試，題型同多益，大約一小時，都完成後，與主管進行視訊面試，同時有單位主管及人資。會詢問工作經歷，負責過哪些專案，主要在公司負責哪些職務。","[{'Q': '負責哪些職務', 'A': '詳細回答目前負責的職務內容'}]",可多準備要詢問主管的問題，能更了解公司。或對想應徵的職務，要如何精進，有什麼規劃讓自己更符合應徵職位要求。
50,50,裕隆集團_裕隆汽車製造股份有限公司,生產技術工程師,2022.11.19,2022.04,4,錄取,普通,"1.先做測驗(簡單力學、機件原理、驗車事項、邏輯測驗)
2.考完後主管面談，有經理/科長/人資，三對一面談。自我介紹後開始面談，內容主要以圖學概念、工作經驗、休閒嗜好等，有詢問可否加班，過程以一問一答為主，較少閒聊。
3.一周後電話通知錄取","[{'Q': '基本圖學/壓力排解等', 'A': '圖學按照你懂得回答就好，不會刁難'}]","力學簡單，有概念即可。原理部分主要考滑輪及彈簧。
是否推薦此份工作：推薦，薪資對新鮮人來說算多，年薪也不錯。新鮮人可學到很多東西
其他注意事項：有員工宿舍，戶籍地址距公司50公里可申請"
51,51,裕隆集團_裕隆汽車製造股份有限公司,製程工程師,2022.10.23,2022.1,3,未錄取,普通,"面試前須填寫相關資料寄送給人資，面試時有做相關普化專業測驗及英文測驗。測驗約莫2小時。下午在進行面試，由兩位主管及人資作為面試，面談過程輕鬆，會問一些面試基本問題。工作環境如網上所說。福利條件人資大概會說明，跟104上的內容一樣。
整體面試時間約3小時。","[{'Q': '對於塗裝了解', 'A': '照實回答'}]","專業測驗可以準備一下，大都是普化。英文測驗是類多益考試。
職缺工作環境不是很好，福利還可以，可以去面試看看。"
52,52,裕隆集團_裕隆汽車製造股份有限公司,韌體工程師,2022.10.21,2022.1,3,等待中,普通,"先自我介紹以及說明最近幾年的生涯規劃
接下來就是過往專業的問題，能答的話就答
若不知道或是沒接觸過就老實回答
主管人很務實，沒有想要考倒面試人的態度
整體過程很順暢，沒有什麼拖泥帶水
薪資部分不高，儲能這塊技術仍然處於發展中
很多關鍵技術都是採用外包方式","[{'Q': '為什麼要來面試', 'A': '老實回答即可以'}]","若是新鮮人可以來這邊練功
福利基本都蠻齊全的
只是薪資普遍不高
不建議長期待，不缺錢或是想養老的除外
步調很慢"
53,53,裕隆集團_裕隆汽車製造股份有限公司,塗裝製程工程師,2022.10.09,2022.09,3,未錄取,普通,會先考化工專業筆試 ...,"[{'Q': '如何從設備的領域接軌到化工製程領域', 'A': '利用自己設備的經驗先...'}]",
54,54,裕隆集團_裕隆汽車製造股份有限公司,工程師,2022.09.27,2021.11,3,錄取,普通,1. 筆試分英文與專...,"[{'Q': '論文做了什麼?', 'A': '依實際狀況回答'}]",
55,55,裕隆集團_裕隆汽車製造股份有限公司,自動控制工程師,2022.09.23,2022.07,5,錄取,普通,因為疫情關係，所以採...,"[{'Q': '為什麼會想面試裕隆這間公司', 'A': '大公司穩定，福利還不...'}]",
56,56,裕隆集團_裕隆汽車製造股份有限公司,行政專員,2022.09.21,2022.09,3,無聲卡,普通,交通普通，大樓外觀看...,"[{'Q': '自我介紹', 'A': '依內容回應'}]",
57,57,裕隆集團_裕隆汽車製造股份有限公司,資料工程師,2022.08.30,2022.07,3,無聲卡,普通,只有一關面試好像是新...,"[{'Q': '為何離開上一份工作', 'A': '(就照你經驗回答吧'}]",
58,58,裕隆集團_裕隆汽車製造股份有限公司,IE工程師,2022.08.22,2022.08,4,等待中,普通,一開始需要先進行專業...,"[{'Q': '你在學期間遇過什麼比較棘手的問題', 'A': '直接回答沒有😅'}]",
59,59,裕隆集團_裕隆汽車製造股份有限公司,公關助理,2022.08.11,2013.04,5,等待中,普通,詢問過去背景？是否了...,"[{'Q': '您為什麼想在這裡工作？', 'A': '了解這家公司的產品、...'}]",
60,60,裕隆集團_裕隆汽車製造股份有限公司,APP軟體設計開發工程師,2022.07.30,2022.06,3,無聲卡,高,面試前要先提交資料給...,"[{'Q': '前一份工作是做甚麼', 'A': '以自身經歷回答'}]",
61,61,裕隆集團_裕隆汽車製造股份有限公司,生管,2022.07.25,2022.07,4,等待中,普通,需要再填寫公司制式的...,"[{'Q': '為什麼想做生管這份工作', 'A': '照實回答。我是跨行業...'}]",
62,62,裕隆集團_裕隆汽車製造股份有限公司,職員,2022.07.21,2022.05,4,錄取,普通,主管採網路視訊面試的...,"[{'Q': '在學校社團表現', 'A': '實話'}]",
63,63,裕隆集團_裕隆汽車製造股份有限公司,管理師,2022.07.15,2022.05,5,未錄取,普通,面試過程大約40-5...,"[{'Q': '對裕隆的了解', 'A': '汽車製造代工廠、從官...'}]",
64,64,裕隆集團_裕隆汽車製造股份有限公司,人資管理師,2022.07.14,2022.07,3,等待中,普通,"第一關先考筆試,筆試...","[{'Q': '你平常如何增進人資知識', 'A': '我有借書來看 照實回...'}]",
65,65,裕隆集團_裕隆汽車製造股份有限公司,職員,2022.07.04,2022.03,4,等待中,高,面試過程會先有專業課...,"[{'Q': '人格特質', 'A': '照履歷中怎麼寫就照實...'}]",
66,66,裕隆集團_裕隆汽車製造股份有限公司,營造工程師,2022.06.25,2022.06,5,等待中,高,"首先先考專業題目
...","[{'Q': '工地遇到印象最深最難克服的事情', 'A': '因為是女生，很多工班...'}]",
67,67,裕隆集團_裕隆汽車製造股份有限公司,新事業業務,2022.06.21,2022.06,3,無聲卡,普通,視訊面試先進行筆試，...,"[{'Q': '在團隊合作中遇到的困難跟解決辦法', 'A': '依照個人特質回答，先...'}]",
68,68,裕隆集團_裕隆汽車製造股份有限公司,管理師,2022.06.09,2022.05,3,未錄取,普通,筆試（申論題）：總體...,"[{'Q': '家庭 過去經歷', 'A': '照實回答，不要太強勢...'}]",
69,69,裕隆集團_裕隆汽車製造股份有限公司,人力資源管理師,2022.06.09,2022.06,4,等待中,普通,先是筆試，接著會跟主...,"[{'Q': '自我介紹', 'A': '如實回答'}]",
70,70,裕隆集團_裕隆汽車製造股份有限公司,職員,2022.06.07,2022.06,3,等待中,普通,面試時間約莫3小時，...,"[{'Q': '為了此次面試做麼甚麼準備', 'A': '去了解職位需求，加強...'}]",
71,71,裕隆集團_裕隆汽車製造股份有限公司,工程師,2022.06.02,2022.05,3,未錄取,普通,線上視訊面試，先線上...,"[{'Q': '對應徵職務的瞭解程度，為什麼想做這份工作，以前工作與應徵職務有什麼相通的地方。', 'A': '面試前簡單做點功課，...'}]",
72,72,裕隆集團_裕隆汽車製造股份有限公司,暑期實習生,2022.05.26,2022.05,4,未錄取,低,有兩位人資與一個單位...,"[{'Q': '自我介紹', 'A': '我準備了簡報來介紹'}]",
73,73,裕隆集團_裕隆汽車製造股份有限公司,專案管理人員,2022.05.05,2022.03,4,錄取,低,一開始進去面試會先叫...,"[{'Q': '為什麼想選擇這份工作？', 'A': '因為對車子有興趣'}]",
74,74,裕隆集團_裕隆汽車製造股份有限公司,業務工程師,2022.04.22,2022.03,3,無聲卡,高,人資會先考英文，接著...,"[{'Q': '自我介紹', 'A': '根據經歷簡短回答'}]",
75,75,裕隆集團_裕隆汽車製造股份有限公司,行政助理,2022.03.31,2021.07,3,錄取,低,此職位是屬人力派遣性...,"[{'Q': '為什麼想來這邊上班', 'A': '依實際情況回答'}]",
76,76,裕隆集團_裕隆汽車製造股份有限公司,生物管管理師,2022.03.27,2019.08,4,未錄取,普通,裕隆工廠蠻偏僻的，但...,"[{'Q': '自我介紹', 'A': '如實回答'}]",
77,77,裕隆集團_裕隆汽車製造股份有限公司,管理師,2022.03.16,2022.02,5,錄取,普通,該公司人資十分友善且...,"[{'Q': '自我介紹', 'A': '如實回答'}]",
78,78,裕隆集團_裕隆汽車製造股份有限公司,物料管理員,2022.02.28,2022.02,1,未錄取,低,人資作績效的伎倆罷了...,"[{'Q': '工作申請表', 'A': '表單很奴，大多問一些...'}]",
79,79,裕隆集團_裕隆汽車製造股份有限公司,工程師,2022.02.23,2022.02,3,錄取,普通,人資會先對你進行初步...,"[{'Q': '自我介紹', 'A': '針對履歷資料去發揮即...'}]",
80,80,裕隆集團_裕隆汽車製造股份有限公司,人力資源管理師,2022.01.23,2022.01,4,等待中,高,因為疫情關係由現場面...,"[{'Q': '為什麼想面試裕隆?', 'A': '回答以自身的職涯規畫...'}]",
81,81,裕隆集團_裕隆汽車製造股份有限公司,經營管理,2022.01.12,2015.02,5,錄取,高,先考筆試後進行直屬主...,"[{'Q': '你有瞭解此工作內容嗎？', 'A': '依104上提示後，可...'}]",
82,82,裕隆集團_裕隆汽車製造股份有限公司,職員,2022.01.02,2021.12,3,未錄取,普通,如果沒有兩年內的多益...,"[{'Q': '為什麼離開前一份工作', 'A': '簡單說明後，有略為被...'}]",
83,83,裕隆集團_裕隆汽車製造股份有限公司,品檢人員,2021.12.14,2019.05,1,錄取,低,"聊天成分居多，
少...","[{'Q': '你為什麼離職', 'A': '因為YLM離家近'}]",
84,84,裕隆集團_裕隆汽車製造股份有限公司,品保工程師,2021.11.26,2021.09,3,等待中,普通,一開始人資先隨便聊聊...,"[{'Q': '為什麼想來應徵', 'A': '對於汽車產業相當有興...'}]",
85,85,裕隆集團_裕隆汽車製造股份有限公司,工程師,2021.11.24,2019.07,5,錄取,簡單,基本上非常輕鬆，主管...,"[{'Q': '過去碩士論文在做的內容', 'A': '這部分因人而異，基本...'}]",
86,86,裕隆集團_裕隆汽車製造股份有限公司,派遣會計專員,2021.10.25,2021.09,4,錄取,低,首先通過派遣公司初步...,"[{'Q': '能否接受加班', 'A': '可以 之前在事務所已...'}]",
87,87,裕隆集團_裕隆汽車製造股份有限公司,管理師,2021.10.24,2021.09,4,等待中,普通,"三個主管跟一個人資
...","[{'Q': '家裡有兄弟姐妹嗎', 'A': '照實回答'}]",
88,88,裕隆集團_裕隆汽車製造股份有限公司,業務工程師,2021.10.22,2021.1,3,等待中,普通,面試前需填寫裕隆的人...,"[{'Q': '是否可以接受外出拜訪客戶', 'A': '可以'}]",
89,89,裕隆集團_裕隆汽車製造股份有限公司,財務管理師,2021.10.19,2021.1,3,未錄取,高,首先進行英文及專業科...,"[{'Q': '你覺得你的哪些個人特質能勝任此份工作？', 'A': '以個人積極態度及所學...'}]",
90,90,裕隆集團_裕隆汽車製造股份有限公司,生物管管理師,2021.10.09,2009.12,4,錄取,高,問了對裕隆的了解、為...,"[{'Q': '對裕隆了了解', 'A': '國內代表性的汽車製造...'}]",
91,91,裕隆集團_裕隆汽車製造股份有限公司,製程設備工程師,2021.09.19,2021.07,1,未錄取,超高,人資介紹進場，首先開...,"[{'Q': '父母職業，家庭背景', 'A': '心裡OS 我是來相親...'}]",
92,92,裕隆集團_裕隆汽車製造股份有限公司,PT,2021.09.15,2021.08,5,錄取,普通,當時面試環境非常優良...,"[{'Q': '請問對工作內容有所瞭解嗎', 'A': '有大致上的了解，進行...'}]",
93,93,裕隆集團_裕隆汽車製造股份有限公司,製程工程師,2021.09.03,2021.06,4,未錄取,普通,人資會先單獨邀請您進...,"[{'Q': '若公司只想安於現狀，但你想積極改變，該如何推動?', 'A': '先從自己做起，維持做...'}]",
94,94,裕隆集團_裕隆汽車製造股份有限公司,資深會計專員,2021.09.01,2020.02,3,未錄取,普通,1.面試過程約二個小...,"[{'Q': '詢問前份工作離職原因', 'A': '依照實際狀況回覆'}]",
95,95,裕隆集團_裕隆汽車製造股份有限公司,產品工程師（儲能）,2021.08.10,2021.07,3,未錄取,普通,1. 繳交書面資料之...,"[{'Q': '你有負責過什麼專案', 'A': '我講我負責過的一個專...'}]",
96,96,裕隆集團_裕隆汽車製造股份有限公司,資訊系統工程師,2021.08.07,2019.03,4,錄取,高,"跟HR談完後, 就開...","[{'Q': '為何離開前家公司', 'A': '個人身涯規劃'}]",
97,97,裕隆集團_裕隆汽車製造股份有限公司,業務工程師,2021.08.02,2021.06,4,未錄取,高,面試前需要繳交大學的...,"[{'Q': '是否排斥外出跑客戶', 'A': '不排斥，但想了解頻率...'}]",
98,98,裕隆集團_裕隆汽車製造股份有限公司,生管工程師,2021.07.03,2019.09,1,未錄取,高,會給車馬補助費，不過...,"[{'Q': '為啥要來面試我們公司', 'A': '因為生管是我的興趣'}]",
99,99,裕隆集團_裕隆汽車製造股份有限公司,會計管理師,2021.06.14,2021.05,4,等待中,普通,早上是考試，有分成英...,"[{'Q': '你大學的成績很差，要如何證明你只有專業能力？', 'A': '因本身是成功大學會計...'}]",
100,100,裕隆集團_裕隆汽車製造股份有限公司,生技工程師,2021.05.25,2011.06,3,錄取,普通,上機考模擬TOEIC...,"[{'Q': '過去的工作經驗', 'A': '照實回答'}]",
